Date,Open,High,Low,Close,Adj Close,Volume
3/20/06,2311.929932,2332.949951,2282.379883,2312.820068,2312.820068,10312260000
3/27/06,2312.469971,2353.139893,2299.560059,2339.790039,2339.790039,10235460000
4/3/06,2352.23999,2375.449951,2332.669922,2339.02002,2339.02002,10206940000
4/10/06,2340.389893,2343.590088,2302.189941,2326.110107,2326.110107,6993220000
4/17/06,2325.560059,2375.540039,2299.419922,2342.860107,2342.860107,10557860000
4/24/06,2338.780029,2361.889893,2315.120117,2322.570068,2322.570068,11469460000
5/1/06,2329.790039,2344.370117,2295.030029,2342.570068,2342.570068,10317490000
5/8/06,2342.409912,2352.560059,2243.320068,2243.780029,2243.780029,10322040000
5/15/06,2234.01001,2245.179932,2164.540039,2193.879883,2193.879883,10878140000
5/22/06,2178.149902,2210.48999,2135.810059,2210.370117,2210.370117,10568390000
5/29/06,2202.570068,2233.879883,2164.73999,2219.409912,2219.409912,7849840000
6/5/06,2212.350098,2219.409912,2100.429932,2135.060059,2135.060059,10439500000
6/12/06,2137.469971,2147.909912,2065.110107,2129.949951,2129.949951,11202000000
6/19/06,2136.600098,2152.560059,2103.77002,2121.469971,2121.469971,8367740000
6/26/06,2126.459961,2183.47998,2090.780029,2172.090088,2172.090088,9396650000
7/3/06,2177.909912,2190.439941,2126.639893,2130.060059,2130.060059,5720130000
7/10/06,2135.959961,2142.360107,2027.109985,2037.349976,2037.349976,9111810000
7/17/06,2034.76001,2086.070068,2012.780029,2020.390015,2020.390015,10104840000
7/24/06,2030.48999,2094.949951,2030.48999,2094.139893,2094.139893,9886280000
7/31/06,2087.860107,2119.01001,2052.75,2085.050049,2085.050049,8651900000
8/7/06,2079.449951,2097.76001,2048.219971,2057.709961,2057.709961,8545520000
8/14/06,2073.01001,2168.110107,2067.689941,2163.949951,2163.949951,9313350000
8/21/06,2151.909912,2162.679932,2122.649902,2140.290039,2140.290039,7013990000
8/28/06,2140.52002,2198.580078,2139.570068,2193.159912,2193.159912,7560630000
9/4/06,2192.939941,2207.550049,2149.360107,2165.790039,2165.790039,6833950000
9/11/06,2152.120117,2247.159912,2147.439941,2235.590088,2235.590088,9845270000
9/18/06,2232.98999,2261.469971,2202.929932,2218.929932,2218.929932,9798710000
9/25/06,2227.370117,2273.300049,2212.02002,2258.429932,2258.429932,9501480000
10/2/06,2257,2306.350098,2224.209961,2299.98999,2299.98999,9489810000
10/9/06,2297.820068,2360.22998,2292.290039,2357.290039,2357.290039,9185730000
10/16/06,2359.189941,2368.110107,2324.429932,2342.300049,2342.300049,10003080000
10/23/06,2338.149902,2379.290039,2330.610107,2350.620117,2350.620117,10389630000
10/30/06,2347.209961,2375.530029,2316.820068,2330.790039,2330.790039,9390710000
11/6/06,2341.659912,2401.330078,2341.659912,2389.719971,2389.719971,10117740000
11/13/06,2389.52002,2453.350098,2387.879883,2445.860107,2445.860107,9522280000
11/20/06,2441.159912,2468.419922,2437.840088,2460.26001,2460.26001,5612380000
11/27/06,2454.169922,2454.639893,2390.100098,2413.209961,2413.209961,9987080000
12/4/06,2420.919922,2459.51001,2416.77002,2437.360107,2437.360107,9725760000
12/11/06,2437.360107,2470.02002,2419.320068,2457.199951,2457.199951,9737470000
12/18/06,2462.429932,2470.949951,2400.719971,2401.179932,2401.179932,8686010000
12/25/06,2398.219971,2437.379883,2397.679932,2415.290039,2415.290039,4883910000
1/1/07,2429.719971,2460.51001,2394.659912,2434.25,2434.25,6599850000
1/8/07,2435.25,2502.820068,2421.129883,2502.820068,2502.820068,10936070000
1/15/07,2504.560059,2508.929932,2435.679932,2451.310059,2451.310059,8907500000
1/22/07,2454.5,2470.51001,2418.610107,2435.48999,2435.48999,10373360000
1/29/07,2434.639893,2481.379883,2431.310059,2475.879883,2475.879883,9918520000
2/5/07,2475.030029,2496.52002,2453.439941,2459.820068,2459.820068,10369900000
2/12/07,2460.629883,2498.370117,2444.679932,2496.310059,2496.310059,9672320000
2/19/07,2491.75,2531.419922,2479.919922,2515.100098,2515.100098,8041220000
2/26/07,2525.040039,2525.97998,2359.439941,2368,2368,12633850000
3/5/07,2368,2404.800049,2340.399902,2387.550049,2387.550049,10237400000
3/12/07,2385.139893,2404.02002,2331.570068,2372.659912,2372.659912,9850690000
3/19/07,2384.659912,2459.959961,2381.550049,2448.929932,2448.929932,9093410000
3/26/07,2451.600098,2455.629883,2396.830078,2421.639893,2421.639893,9318860000
